Date,Open,High,Low,Close,Adj Close,Volume
2018-07-31,17830.000000,18250.000000,17570.000000,17570.000000,17007.505859,88763
2018-08-01,17570.000000,17750.000000,17280.000000,17340.000000,16784.869141,63041
2018-08-02,17340.000000,17340.000000,17340.000000,17340.000000,16784.869141,0
2018-08-05,17570.000000,17930.000000,17540.000000,17930.000000,17355.978516,33632
2018-08-06,17880.000000,18000.000000,17840.000000,18000.000000,17423.740234,29808
2018-08-07,18050.000000,18290.000000,18000.000000,18290.000000,17704.455078,45868
2018-08-08,18290.000000,18300.000000,17990.000000,18120.000000,17539.896484,40106
2018-08-09,18110.000000,18250.000000,17970.000000,18090.000000,17510.857422,52678
2018-08-12,18090.000000,18090.000000,17920.000000,18000.000000,17423.740234,7132
2018-08-13,17920.000000,18070.000000,17700.000000,17920.000000,17346.300781,38391
2018-08-14,18170.000000,18170.000000,17850.000000,18020.000000,17443.099609,31667
2018-08-15,17960.000000,18010.000000,17470.000000,17540.000000,16978.464844,61794
2018-08-16,17690.000000,18000.000000,17640.000000,18000.000000,17423.740234,64881
2018-08-19,18050.000000,18130.000000,17880.000000,18030.000000,17452.777344,28951
2018-08-20,18080.000000,18230.000000,17940.000000,18150.000000,17568.937500,41309
2018-08-21,18080.000000,18280.000000,18070.000000,18150.000000,17568.937500,47415
2018-08-22,18140.000000,18400.000000,18140.000000,18380.000000,17791.572266,107213
2018-08-23,18460.000000,18690.000000,18260.000000,18690.000000,18091.650391,161994
2018-08-26,18880.000000,18960.000000,18700.000000,18800.000000,18198.126953,31354
2018-08-27,18650.000000,18960.000000,18640.000000,18900.000000,18294.925781,82590
2018-08-28,18900.000000,19080.000000,18570.000000,18640.000000,18043.248047,101724
2018-08-29,18640.000000,18900.000000,18460.000000,18880.000000,18275.566406,139699
2018-08-30,18920.000000,18930.000000,18570.000000,18730.000000,18130.369141,139955
2018-09-02,18710.000000,19000.000000,18620.000000,18850.000000,18246.525391,82749
2018-09-03,18850.000000,19100.000000,18710.000000,18820.000000,18217.488281,168638
2018-09-04,19040.000000,19050.000000,18700.000000,18770.000000,18169.087891,80383
2018-09-05,18670.000000,18850.000000,18580.000000,18600.000000,18004.531250,81173
2018-09-06,18500.000000,18790.000000,18490.000000,18600.000000,18004.531250,166498
2018-09-09,18600.000000,18600.000000,18600.000000,18600.000000,18004.531250,0
2018-09-10,18600.000000,18600.000000,18600.000000,18600.000000,18004.531250,0
2018-09-11,18600.000000,18600.000000,18600.000000,18600.000000,18004.531250,0
2018-09-12,18810.000000,19050.000000,18250.000000,18250.000000,17665.734375,70274
2018-09-13,18420.000000,18560.000000,18290.000000,18560.000000,17965.810547,56471
2018-09-16,18540.000000,18820.000000,18520.000000,18800.000000,18198.126953,18356
2018-09-17,18800.000000,18990.000000,18630.000000,18900.000000,18294.925781,30313
2018-09-18,18900.000000,18900.000000,18900.000000,18900.000000,18294.925781,0
2018-09-19,null,null,null,null,null,null
2018-09-20,19000.000000,19080.000000,18600.000000,18600.000000,18004.531250,242887
2018-09-23,18600.000000,18600.000000,18600.000000,18600.000000,18004.531250,0
2018-09-24,18600.000000,18600.000000,18600.000000,18600.000000,18004.531250,0
2018-09-25,18790.000000,19020.000000,18650.000000,18770.000000,18169.087891,49043
2018-09-26,18970.000000,19000.000000,18630.000000,18740.000000,18140.048828,67385
2018-09-27,18520.000000,18690.000000,18480.000000,18680.000000,18081.968750,118793
2018-09-30,18680.000000,18680.000000,18680.000000,18680.000000,18081.968750,0
2018-10-01,18680.000000,18680.000000,18680.000000,18680.000000,18081.968750,0
2018-10-02,18340.000000,18950.000000,18340.000000,18610.000000,18014.210938,90122
2018-10-03,18610.000000,18850.000000,18470.000000,18570.000000,17975.490234,44365
2018-10-04,18260.000000,18420.000000,18120.000000,18120.000000,17539.896484,170751
2018-10-07,18090.000000,18160.000000,18010.000000,18070.000000,17491.498047,23843
2018-10-08,18000.000000,18110.000000,17740.000000,17870.000000,17297.902344,46942
2018-10-09,17800.000000,18400.000000,17800.000000,18400.000000,17810.931641,93780
2018-10-10,18250.000000,18470.000000,18010.000000,18090.000000,17510.857422,55836
2018-10-11,17800.000000,18200.000000,17760.000000,18040.000000,17462.458984,134899
2018-10-14,null,null,null,null,null,null
2018-10-15,18000.000000,18060.000000,17800.000000,17800.000000,17230.140625,47901
2018-10-16,17800.000000,18050.000000,17620.000000,18010.000000,17433.417969,80102
2018-10-17,18000.000000,18280.000000,17970.000000,18020.000000,17443.099609,103616
2018-10-18,17940.000000,18170.000000,17900.000000,18100.000000,17520.537109,62403
2018-10-21,18100.000000,18240.000000,18070.000000,18160.000000,17578.617188,15387
2018-10-22,18380.000000,18440.000000,18150.000000,18150.000000,17568.937500,50093
2018-10-23,17850.000000,18120.000000,17810.000000,17820.000000,17249.500000,48332
2018-10-24,17820.000000,18260.000000,17820.000000,18100.000000,17520.537109,54380
2018-10-25,18100.000000,18400.000000,17860.000000,17930.000000,17355.978516,322185
2018-10-28,18060.000000,18060.000000,17880.000000,17930.000000,17355.978516,152988
2018-10-29,18070.000000,18070.000000,17850.000000,17900.000000,17326.939453,47680
2018-10-30,17900.000000,17900.000000,17900.000000,17900.000000,17326.939453,0
2018-10-31,18120.000000,18130.000000,17930.000000,18060.000000,17481.816406,184104
2018-11-01,18060.000000,18230.000000,18010.000000,18180.000000,17597.976563,82565
2018-11-04,18080.000000,18080.000000,17990.000000,17990.000000,17414.058594,11146
2018-11-05,17900.000000,18210.000000,17850.000000,18210.000000,17627.015625,64621
2018-11-06,18290.000000,18320.000000,18160.000000,18300.000000,17714.134766,55134
2018-11-07,18210.000000,18800.000000,18210.000000,18780.000000,18178.767578,55465
2018-11-08,18720.000000,19100.000000,18610.000000,19090.000000,18478.841797,100847
2018-11-11,19200.000000,19270.000000,18930.000000,18990.000000,18382.044922,22697
2018-11-12,19090.000000,19270.000000,18930.000000,19010.000000,18401.404297,159452
2018-11-13,19010.000000,19370.000000,18880.000000,19280.000000,18662.759766,96381
2018-11-14,19160.000000,19350.000000,19080.000000,19130.000000,18517.562500,54356
2018-11-15,19300.000000,19440.000000,19170.000000,19350.000000,18730.519531,77159
2018-11-18,19350.000000,19450.000000,19210.000000,19310.000000,18691.798828,13340
2018-11-19,19210.000000,19350.000000,19060.000000,19240.000000,18624.041016,46542
2018-11-20,19240.000000,19290.000000,19000.000000,19150.000000,18536.921875,57782
2018-11-21,19280.000000,19340.000000,18990.000000,19140.000000,18527.244141,168627
2018-11-22,19250.000000,19270.000000,18950.000000,19020.000000,18411.083984,54960
2018-11-25,19060.000000,19240.000000,18910.000000,18990.000000,18382.044922,28839
2018-11-26,18990.000000,19390.000000,18650.000000,18730.000000,18130.369141,133690
2018-11-27,18730.000000,18840.000000,18380.000000,18580.000000,17985.171875,54344
2018-11-28,18720.000000,18970.000000,18590.000000,18930.000000,18323.964844,39754
2018-11-29,19100.000000,19160.000000,18670.000000,18670.000000,18072.289063,276663
2018-12-02,18670.000000,19080.000000,18670.000000,19030.000000,18420.763672,47138
2018-12-03,19310.000000,19310.000000,18920.000000,19050.000000,18440.123047,53335
2018-12-04,18860.000000,19000.000000,18860.000000,18990.000000,18382.044922,105107
2018-12-05,18850.000000,19200.000000,18850.000000,19170.000000,18556.281250,122271
2018-12-06,19100.000000,19100.000000,18850.000000,18880.000000,18275.566406,161765
2018-12-09,18830.000000,19170.000000,18750.000000,19060.000000,18449.804688,32393
2018-12-10,18930.000000,19160.000000,18730.000000,19080.000000,18469.164063,81355
2018-12-11,19080.000000,19280.000000,19050.000000,19050.000000,18440.123047,105112
2018-12-12,19130.000000,19190.000000,18900.000000,18910.000000,18304.605469,56217
2018-12-13,18880.000000,19000.000000,18740.000000,18750.000000,18149.726563,72026
2018-12-16,18710.000000,18770.000000,18530.000000,18540.000000,17946.451172,25998
2018-12-17,18430.000000,18720.000000,18430.000000,18610.000000,18014.210938,62129
2018-12-18,18690.000000,18810.000000,18550.000000,18600.000000,18004.531250,104942
2018-12-19,18770.000000,18930.000000,18670.000000,18930.000000,18323.964844,135044
2018-12-20,18610.000000,18750.000000,18450.000000,18730.000000,18130.369141,122651
2018-12-23,18730.000000,18730.000000,18000.000000,18230.000000,17646.375000,177300
